id,clause
111,<GUY> Remembered what?
112,<HENRY> I can't talk.
113,"This is my stop, will you excuse me, please?"
114,"<GUY> Well, Henry, Henry, for Pete's sake."
115,<NARRATOR> As in yesterday's dream Guy Burckhardt got off at his stop and took the elevator to the ninety eighth floor.
116,The speaker in the elevator purred a new commercial this time.
117,<2ND SPEAKER> Marlins cigarettes.
118,They're sanitized.
119,Does your present cigarette make your throat feel raspy and unpleasant?
120,Marlins cigarettes contain a miraculous new drug which actually gives you the sensation of smooth creamy smoke.
121,Marlins cigarettes.
122,Marlins cigarettes.
123,<NARRATOR> He walked down the marbled corridor to his office.
124,"<MISS HORN> Good morning, Mr. Burckhardt."
125,"<GUY> Good morning, Miss Horne."
126,<MISS HORN> You like my new hairdo?
127,"<GUY> Uh, yes, is Mr. Barth in?"
128,"<MISS HORN> No, sir, he had an appointment with Mr. Dorchin at the research institute."
129,<GUY> I know.
130,<MISS HORN> You know?
131,"<GUY> Well, I guessed it anyway."
132,"And today is the fifteenth of June, and he won't be here to sign the quarterly statement, and I'm going nuts."
133,"Let me have a cigarette, will you?"
134,"<MISS HORN> Uh, yes, sir."
135,Try one of these.
136,They're Marlins.
137,<GUY> Never heard of Marlins before today.
138,"What are we, a bunch of guinea pigs?"
139,"<MISS HORN> Something wrong, Mr. Burckhardt?"
140,<GUY> Wrong?
141,"Perish the thought, Miss Horne, perish the thought."
142,<NARRATOR> He went to his desk and stared at the mail before he opened it.
143,He knew that the factory distributors envelope contained an order for twelve new electronic computers.
144,He knew that the development journal contained an article about a new method of trans printing selective brain circuits of human engineers onto the electric brain circuits of robot engineers to facilitate the operation of automatic factories.
145,He knew that there was a complaint from Finebeck and Sons about the Contro Chemicals newest household robot circuit.
146,"After a long while, he forced himself to open them."
147,They were exactly as he suspected.
148,<GUY> hello.
149,"<HENRY> This is Swanson, Henry Swanson."
150,<GUY> What is it?
151,<HENRY> Do you remember?
152,<GUY> Remember what?
153,<HENRY> Just remember.
154,"<GUY> All right now, listen, Henry."
155,Let's stop playing games.
156,"Yesterday, either I was dreaming or you snubbed me on the bus."
157,"Today, the same thing happened."
158,"<HENRY> Oh, you do remember."
159,Thank heavens.
160,"I thought so when I saw you, but I couldn't be sure."
161,<GUY> Now what is it you want?
162,"<HENRY> Listen, tomorrow morning, when I get off the bus, you get off with me."
163,"Be casual, they may be watching."
164,<GUY> Who may be watching?
165,Swanson?
166,Hello?
167,"<MISS HORN> You buzzed, Mr. Burckhardt?"
168,"<GUY> Yes, I'm still out of cigarettes."
169,Would you buy me a pack of Kelvins?
170,<MISS HORN> Wouldn't you rather have Marlins?
171,<GUY> I smoke Kelvins.
172,"<MISS HORN> But Mr. Burckhardt, Marlins have that soft creamy smoke that's so soothing to your throat."
173,"<GUY> Oh, you really believe that stuff?"
174,<MISS HORN> Well it's true.
175,"I wouldn't say this Mr. Burckhardt, except, well, I've gotten to know you pretty well, and I've grown to admire you so much."
176,<GUY> I see.
177,"<MISS HORN> Would you mind, Mr. Burckhardt, if I told you that for months now I wanted to, well, just comfort you?"
178,I know how troubled you've been.
179,"<GUY> Well, you've, uh, never mentioned your feelings before, Miss Horne."
180,<MISS HORN> April.
181,My first name's April.
182,<GUY> Well that's a pretty name.
183,<MISS HORN> You see I do have your welfare at heart.
184,That's why when I see you smoking Kelvins and I know Marlins are so much better.
185,"Won't you let me buy some of them for you, huh?"
186,<GUY> Well I suppose so.
187,Why not.
188,"Yeah, bring me a carton."
189,"<MISS HORN> Oh, thank you, Mr. Burckhardt."
190,Guy.
191,"<GUY> I, uh, I think you ought to go."
192,<MISS HORN> I'll be back.
193,"<NARRATOR> There was something wrong, something definitely peculiar about what was happening: the call from Henry Swanson, the strange behavior of his secretary, Miss Horne, these new products, the dream."
194,Guy Burckhardt went home that night feeling like a man in a nightmare.
195,"<MARY> That you, dear?"
196,<GUY> It's me.
197,<MARY> You have a good day?
198,<GUY> Fair.
199,"<MARY> Oh, before you sit down, will you go down to the cellar and put in a new fuse?"
200,The switch in the hall closet blew out.
201,"I, I shut it off."
202,<GUY> Okay.
203,"<MARY> Supper will be ready in a minute, so don't start fooling around with that old boat hull you've been building."
204,<GUY> I won't.
205,"Mary, Mary."
206,<MARY> What is it?
207,"<GUY> Come down here, hurry up."
208,<MARY> What is it?
209,<GUY> I don't know.
210,I'm not sure.
211,"I was looking for a fuse and I thought maybe I'd dropped one under the boathouse, so I scratched around."
212,"Look, let me put the flashlight on it."
213,<MARY> Where?
214,<GUY> Look at the floor.
215,<MARY> What about the floor?
216,<GUY> It's supposed to be cement.
217,<MARY> Well?
218,<GUY> Well it's copper.
219,"There's a thin layer of cement, but underneath, its metal."
220,Look here.
221,"Underneath the concrete, more metal."
222,"And here, on the wall."
223,You see?
224,Metal.
225,"Metal under the floor, behind the walls, every place."
226,"<MARY> Well I, I don't really understand."
227,"<GUY> Mary, I know this sounds crazy, but somebody, for reasons I can't even begin to guess, has taken this house and replaced it with a clever imitation."
228,<MARY> Guy.
229,"<GUY> Mary, I'm going to look around a little more."
230,"<MARY> Well, your dinner will be ready."
231,"<GUY> All right, save it for me."
232,There are a couple of things I've got to figure out.
233,"<NARRATOR> The following morning, Guy Burckhardt woke up screaming."
234,He dragged himself into the kitchen where his wife Mary was preparing breakfast and discovered it was still June fifteenth.
235,"<GUY> Mary, where's the morning paper, where is it?"
236,"<MARY> It's outside the door, I guess."
237,"<GUY> Uh huh, June 15th."
238,"<MARY> You'd better hurry, dear."
239,Today's the day Mr. Barth fills out the quarterly tax return.
240,<GUY> Oh no it isn't.
241,<MARY> Why?
242,<GUY> He won't be there.
243,He'll get a meeting with that crackpot Dorchin at the human research institute.
244,<MARY> Mr. Dorchin?
245,"<GUY> He'll be there, and Miss Horne will have a new hairdo, and the elevator will be selling some new product, and Swanson."
246,<MARY> What about Swanson?
247,"<GUY> Swanson, he said."
248,"I wonder if it's going to be the same today, or whether."
249,"<MARY> Guy, what in the world are you talking about?"
250,<GUY> Huh?
251,"Uh, nothing, nevermind."
252,Where's my coat?
253,<MARY> You haven't had any breakfast yet.
254,<GUY> I don't want to miss my bus.
255,I'll see you tonight.
256,<NARRATOR> Guy Burckhardt got on his bus.
257,"There were the same unfamiliar faces, the same unusually new looking buildings, the same unusually bright sunshine."
258,"And on the customary corner, Henry Swanson, pale and furtive, climbed aboard."
259,"<HENRY> Excuse me, sir."
260,<GUY> It's quite alright.
261,<HENRY> Do you remember the phone call?
262,<GUY> Yes.
263,<HENRY> Oh thank heaven.
264,Get off at the next corner and follow me.
265,<GUY> Where are you going?
266,<HENRY> There's an excavation for a building about a block down.
267,Make sure you aren't followed.
268,I'll go first.
269,"<HENRY> Burckhardt, here, behind the fence."
270,"<GUY> All right now, Henry, what's this all about?"
271,<HENRY> I'm not sure.
272,At first I thought perhaps they were Russians.
273,Now I'm beginning to think they're Martians.
274,No humans could have accomplished what they've accomplished.
275,"<GUY> Now, wait a minute."
276,"Start from the beginning, Henry."
277,What's going on?
278,"<HENRY> Look, Burckhardt, peculiar things have been happening to you, right?"
279,<GUY> Yes.
280,"<HENRY> A lot of your friends are missing, your house seems changed."
281,"<GUY> Yeah, there's something stranger than that: the date."
282,"Today is June fifteenth, yet I could swear yesterday was June fifteenth, and the day before that."
283,"<HENRY> You got it, friend, it's always June fifteenth, and you and I are the only ones who know it."
284,"<GUY> But why, Henry, how?"
285,<HENRY> I'm not sure.
286,I think it's some sort of mass hypnosis or something.
287,<GUY> Well why doesn't it work for us?
288,My wife Mary doesn't remember a thing.
289,"<HENRY> Somehow, when it happened, they missed us."
290,"We were protected from the full force of the rays, or whatever they used."
291,"Burckhardt, where were you on the night of the fourteenth about midnight?"
292,"<GUY> Let me see, that was Sunday night."
293,<HENRY> Yes.
294,"<GUY> Yeah, I was down in the cellar, under the, the boat I'm building."
295,<HENRY> And I was in my darkroom developing some pictures.
296,<GUY> This just doesn't make any sense to me.
297,"Russians, Martians, what makes you think that?"
298,<HENRY> I've seen them.
299,<GUY> Where?
300,<HENRY> At the end of the tunnel.
301,<GUY> What tunnel?
302,<HENRY> The one they built under Tylertown.
303,<GUY> A tunnel under Tylertown?
304,"<HENRY> Yes, that's right."
305,It's made out of copper or some alloy.
306,"<GUY> Wait a minute, I found a copper layer under my cellar floor last night."
307,<HENRY> So did I.
308,That's how I discovered it.
309,I found a way to get in too.
310,It's at the bottom of this excavation.
311,<GUY> Holy mackerel.
312,"Henry, why don't we tell the police?"
313,<HENRY> Because we can't trust them.
314,Even the police may be Martians in disguise.
315,"<GUY> Oh come on now, you're being melodramatic."
316,<HENRY> Oh am I?
317,Well you just come with me.
318,<GUY> Where?
319,"<HENRY> Into the tunnel, I'll show you."
320,<NARRATOR> Henry Swanson led Guy Burckhardt to a small hole on the side of the excavation.
321,"There, he removed the cutout piece of metallic substance and they crawled into a dimly lighted tunnel."
322,They walked for what seemed like two miles until Swanson held his finger to his lips.
323,<HENRY> We've got to be quiet now.
324,"<GUY> Henry, this is fantastic."
325,They've got a tunnel right under the whole town.
326,"<HENRY> Oh, you haven't seen anything yet."
327,There's a room a little farther down.
328,We'll be able to look through a glass in the door.
329,<GUY> Is it safe?
330,"<HENRY> It's perfectly safe, unless one of them comes along."
331,Come on.
332,<GUY> Okay.
333,<HENRY> Here.
334,"Burckhardt, look through this glass."
335,"Now, just so I know I'm not completely insane, tell me what you see."
336,<GUY> Good lord.
337,"Well, a tremendous panel with dozens of tele screens, and in front of each, a servo robot."
338,They seem to be computing something.
339,"<HENRY> Yes, I watched them."
340,They're evaluating data from the screens.
341,<GUY> Have you gotten a chance to look at the data on those screens?
342,"<HENRY> No, I've been afraid to go in."
343,There might be a warning circuit somewhere.
344,"<GUY> Well, if we knew what those robots were working on, we could go to the authorities."
345,<HENRY> I'll risk it if you will.
346,"<GUY> All right, it's worth a chance."
347,We're lost anyway.
348,<HENRY> Okay.
349,Open the door.
350,"So far, so good."
351,"<GUY> Come on, let's take a look at that data."
352,<HENRY> But don't interfere with the robot.
353,<GUY> Don't worry.
354,"Here, let's look at this screen."
355,Listen to this.
356,Tests in the forty-seven-K-twelve group with Marlins cigarettes polled eighty percent using a soft feminine approach.
357,Indications are that an extension of this approach would influence at least seventy percent nationwide.
358,The direct elevator pitch pulled only ten percent.
359,"This should be abandoned, and a new series of high persuasion personal elements introduced."
360,"Henry, do you know what this means?"
361,"<HENRY> No, I haven't the faintest idea."
362,<GUY> I don't blame you.
363,"This is crazy, but it fits the facts when I think about it."
364,Do you know who's behind this?
365,<HENRY> Martians.
366,"<GUY> No, not Martians, Henry, humans."
367,<HENRY> What?
368,<GUY> Humans who are interested in developing the perfect propaganda machine.
369,<HENRY> What?
370,"<GUY> I don't know who they are or how they've done it, but somehow they've taken Tylertown over."
371,<HENRY> Hypnosis.
372,"<GUY> Hypnosis, drugs, maybe some kind of a ray or something."
373,"However they do it, what happens is that they let us live through a single day."
374,"During that day, they pour all kinds of suggestions and propaganda into us."
375,"At the end of the day, they evaluate the results, see how we've reacted."
376,"And at midnight, they wash the day out of our minds."
377,"And the next morning, we start the same day over again with different stimuli."
378,"Do you know what that means, Henry?"
379,Suppose one man learned how to influence people one hundred percent.
380,"Why, in a year he could sell us anything from freezers to political candidates."
381,<HENRY> But wait a minute.
382,"<GUY> We're guinea pigs, Henry."
383,This whole community is one big test tube for Dorchin's propaganda research.
384,"<HENRY> Burckhardt, what do we do?"
385,"<GUY> I don't know, but somehow we've got to get out of this town and get to the FBI."
386,"<HENRY> Oh, do you think we can?"
387,"<GUY> It's worth a try, come on."
388,<HENRY> Wait.
389,"<GUY> Huh, what is it?"
390,<HENRY> Look through the door.
391,There's somebody coming down the tunnel.
392,<GUY> We've got to hide.
393,<HENRY> Behind the circuit box.
394,<GUY> Wait.
395,"Good lord, it's Dorchin, the head of the research institute."
396,<HENRY> Quiet.
397,"<DORCHIN> All right, Burckhardt, come out."
398,We know you're in this room.
399,Miss Horne has informed us that you remember.
400,I must warn you that it's useless to buck us.
401,Come out peacefully.
402,"Let our maintenance crew adjust you properly, so you don't remember from one experiment to the next."
403,It will be quite painless.
404,"If you don't come out peacefully, we'll have to get you."
405,"<GUY> Henry, take this wrench."
406,"When I give the word, jump him."
407,<HENRY> But he may be armed.
408,"<GUY> Well, we've got nothing to lose."
409,"<HENRY> Very well, I'm coming after you."
410,<GUY> Now!
411,"<HENRY> Burckhardt, I've killed him."
412,"<GUY> Now wait, get his coat unbuttoned."
413,Maybe his heart's still beating.
414,<GUY> Henry.
415,"<HENRY> What is it, what's wrong?"
416,"<GUY> Look, underneath his coat."
417,<HENRY> Heaven help us.
418,<GUY> It's a robot.
419,A humanoid robot designed to look like Dorchin.
420,"<HENRY> Come on, let's get out of here."
421,<DORCHIN> Wait.
422,<HENRY> What's that?
423,<GUY> It's the loudspeaker.
424,"<DORCHIN> I told you it was useless, gentlemen."
425,<GUY> Who are you?
426,"<DORCHIN> Mr. Dorchin, naturally."
427,The real Mr Dorchin.
428,<GUY> What are you trying to do to us?
429,"<DORCHIN> Merely trying to prevent you from damaging my experiment, gentlemen."
430,<GUY> You can't get away with this Dorchin.
431,"Sooner or later somebody, the FBI or somebody, is going to get wind of this madness."
432,"<DORCHIN> Really, Burckhardt, you're quite naive."
433,Now why not be reasonable and let the maintenance crews adjust you.
434,<GUY> And if I refuse?
435,I suppose you'll kill me.
436,<DORCHIN> That would be quite impossible.
437,<GUY> Oh?
438,"<DORCHIN> You see, Burckhardt, you're already dead."
439,<GUY> Dead?
440,"<DORCHIN> You're sharp, it's quite true."
441,You and everyone else in this town were killed by a premature atomic blast at the Contro Chemical plant.
442,The blast occurred at seven AM on June fifteenth.
443,That is the last thing imprinted on your minds.
444,That is why you wake up screaming each morning.
445,"<GUY> No, it isn't true."
446,"<DORCHIN> But, it is."
447,What I and my associates did was take the brain circuits from your dead bodies.
448,We stored them in electro chemical batteries till we had a chance to rebuild the cities and begin our tests.
449,<GUY> Do you think I believe a fantastic tale like that?
450,<DORCHIN> I imagine you find it incredible.
451,"Of course, we didn't rebuild everything exactly."
452,"After all, it only has to last for a single day: June fifteenth."
453,"At midnight, we turn off the power and wash out the memory of the day."
454,You and your friend Swanson unfortunately have defective circuits.
455,You remember.
456,"<HENRY> Burckhardt, it's no use, we're trapped."
457,Give up.
458,"<GUY> No, not me."
459,What can we do?
460,<GUY> We can make a run for it down the tunnel.
461,Come on.
462,"<DORCHIN> It's useless, Burckhardt."
463,<GUY> Keep going.
464,"<DORCHIN> It's useless, useless, useless... Now, now this door is open."
465,"<GUY> Yeah, it opens."
466,Oh no.
467,"No, I don't believe it."
468,"Swanson, look."
469,<NARRATOR> They were standing on a ledge of smooth finished metal.
470,"At their feet, the ledge dropped away into a chasm so deep, they could not see the bottom."
471,Beyond was only a glare so bright that their eyes could not stand to look into it.
472,"And yet, just at the limit of their vision, something towered."
473,Something so huge it was almost inconceivable.
474,Something.
475,<DORCHIN> Burckhardt?
476,<GUY> Yes?
477,<DORCHIN> This is Dorchin.
478,<NARRATOR> Now do you understand why it's useless?
479,The great looming figure moved closer.
480,"It seemed to take shape now, and yet it was so gigantic as to be unbelievable."
481,It came closer.
482,The glare was partially blocked.
483,And then Guy Burckhardt knew that the towering shape was none other than Dorchin himself.
484,"<DORCHIN> You see how I did it, Burckhardt?"
485,I took your brain circuits and had them reduced so they could be transferred to tiny humanoid mannequins.
486,"That's what you are, Burckhardt, a tiny miniature of yourself."
487,"And this city, this whole experiment I'm conducting, is built on a tabletop."
488,<NARRATOR> It was the morning of June fifteenth and Guy Burckhardt woke up out of a dream screaming.
